"LD1" "cl" "y"
-1.61936304686646 1 1.5
-0.459774345383798 1 1.5
-2.00676896213294 1 1.5
-2.0789506216623 1 1.5
0.287017513233529 1 1.5
-0.26357530453912 1 1.5
-1.72422808544946 1 1.5
-3.07311185429999 1 1.5
-1.52205480626613 1 1.5
0.794213023199182 1 1.5
-0.872641633108386 1 1.5
-0.501254898661785 1 1.5
-0.900137797469286 1 1.5
-1.9534537531657 1 1.5
-1.87543243197537 1 1.5
2.12570204674949 2 1.5
1.69744357433785 2 1.5
0.856512073006046 2 1.5
1.90237003720565 2 1.5
2.11238431141404 2 1.5
1.0181182470334 2 1.5
1.16173791712107 2 1.5
1.25466108854029 2 1.5
2.47409129069352 2 1.5
-1.18063207092778 2 1.5
1.29512307082488 2 1.5
1.64025331659439 2 1.5
0.626327862627425 2 1.5
1.25490981300763 2 1.5
-0.469485573679888 2 1.5
