"x" "cl" "nbases" ".sample"
1.70580903648366 "2" 57 1
0.383416454806008 "2" 57 1
0.00510577970883442 "2" 57 1
0.280277389445332 "2" 57 1
0.485707445355985 "2" 57 1
0.651653293764301 "2" 57 1
1.41080119642399 "2" 57 1
0.31660026708619 "2" 57 1
-0.473649450588229 "2" 57 1
0.969543074054972 "2" 57 1
0.414924862449817 "2" 57 1
-0.356481496742878 "2" 57 1
1.20589395656195 "2" 57 1
1.70131010581158 "2" 57 1
1.00250250579169 "2" 57 1
-1.09131706458251 "1" 57 1
-0.511021641472321 "1" 57 1
-0.844719099885665 "1" 57 1
-0.467171183589895 "1" 57 1
-0.410438311787601 "1" 57 1
-0.34652909270206 "1" 57 1
-0.485146644382263 "1" 57 1
0.0770216794298765 "1" 57 1
-0.919319145955055 "1" 57 1
-0.22317597012907 "1" 57 1
-1.50558934589459 "1" 57 1
-0.548378005345909 "1" 57 1
-0.305354517121396 "1" 57 1
-1.07106052979225 "1" 57 1
-1.0512155472025 "1" 57 1
-1.06989752229356 "1" 41 2
-1.29841493109337 "1" 41 2
-0.79898927620972 "1" 41 2
-0.592764350043172 "1" 41 2
-0.0746018722677738 "1" 41 2
-1.57131366483299 "1" 41 2
-0.546491988051064 "1" 41 2
0.35590135674166 "1" 41 2
-0.708393487740656 "1" 41 2
-1.38830485971337 "1" 41 2
-1.0442137081569 "1" 41 2
0.117725403787376 "1" 41 2
-0.649310891261252 "1" 41 2
-0.475102772032677 "1" 41 2
-1.33945280424845 "1" 41 2
0.902207252370302 "2" 41 2
0.386696735985081 "2" 41 2
0.411254923973576 "2" 41 2
1.14093378915759 "2" 41 2
0.591875016060267 "2" 41 2
0.900965829320392 "2" 41 2
0.688849535013414 "2" 41 2
0.916584771989337 "2" 41 2
0.555404025602002 "2" 41 2
1.58069324647511 "2" 41 2
-0.0243296386869798 "2" 41 2
0.806709990292206 "2" 41 2
0.727870120200094 "2" 41 2
0.596144071484607 "2" 41 2
0.901765698178925 "2" 41 2
-1.17290436584957 "1" 44 3
-1.45890011961545 "1" 44 3
-0.94303179942116 "1" 44 3
-1.03425184306446 "1" 44 3
-0.318957968929803 "1" 44 3
-0.995825356793005 "1" 44 3
-0.605038280468778 "1" 44 3
-1.56998038492816 "1" 44 3
-1.22609324996885 "1" 44 3
-1.54992105045683 "1" 44 3
-0.609791399440853 "1" 44 3
-0.934078434410329 "1" 44 3
-1.26832256834456 "1" 44 3
-1.57978808386874 "1" 44 3
-0.466605530916299 "1" 44 3
1.54280439288877 "2" 44 3
0.942664888142402 "2" 44 3
0.790702784325929 "2" 44 3
1.39210502166774 "2" 44 3
1.75860526390696 "2" 44 3
0.523922009839136 "2" 44 3
1.03635418937971 "2" 44 3
1.10508926581884 "2" 44 3
0.352912363910385 "2" 44 3
2.32512557203169 "2" 44 3
0.554540396869534 "2" 44 3
1.2208341164668 "2" 44 3
0.795637032828988 "2" 44 3
1.19926575306691 "2" 44 3
0.192927385333057 "2" 44 3
1.22197278374437 "2" 47 4
-0.21200508637415 "2" 47 4
1.01980744381102 "2" 47 4
0.702156078244946 "2" 47 4
1.13981637312107 "2" 47 4
0.73407329612695 "2" 47 4
-0.217087006075415 "2" 47 4
0.758855680557467 "2" 47 4
0.888840244224655 "2" 47 4
-0.0785973855915961 "2" 47 4
