"LD1" "LD2" "grp" ".sample"
4.00856256606148 -1.06914890309543 "W" 1
4.65393532772508 -0.0446720226752741 "W" 1
-2.10024161007636 -0.765384230966887 "Q" 1
-2.60726866760303 -3.52263455341797 "G" 1
-3.32383036587011 0.73259283225471 "Q" 1
-0.4943342343057 2.98477076965079 "F" 1
4.37002079233255 -1.20980255759108 "W" 1
5.9128737258677 -1.10367501777517 "W" 1
-1.4492646976657 2.27261416847297 "F" 1
-2.79697600811936 -0.317994807766131 "G" 1
-0.318598819384585 1.66036476524311 "F" 1
-2.52893835818434 -0.682981451136354 "Q" 1
-0.893171788408878 1.97533773657105 "F" 1
-1.03115146665334 3.16504841946535 "F" 1
3.27954455285394 0.29885817522589 "W" 1
-2.05273249696721 -0.594291160670487 "Q" 1
-3.12117390442546 -1.79160460880138 "G" 1
5.84488525692724 -0.280473848196869 "W" 1
4.19003007608243 -0.104821933960587 "W" 1
-0.837603211748239 5.08197093301288 "F" 1
4.93429908824694 -0.374371362138169 "W" 1
-0.800671239820423 -1.91313176675608 "G" 1
-1.55003183162473 -2.9732827345816 "G" 1
-1.04367394626478 2.02688145040137 "F" 1
6.54244904976325 -0.661210436229429 "W" 1
-1.69088838630914 0.383780870133901 "F" 1
0.458639440386874 0.452560358079722 "F" 1
-0.606677609723512 -0.592795510005169 "G" 1
-1.42726736416382 -0.712428496041889 "Q" 1
4.46218841916372 -0.079659904100819 "W" 1
-1.3204703501596 -1.87068763513777 "Q" 1
-1.66020872944076 2.24408558227703 "F" 1
-0.0381609621978019 -2.29240516056782 "G" 1
-2.73200158295992 -0.499183388065305 "G" 1
-4.00554300066659 -0.955558412192927 "Q" 1
-3.71769203256414 -2.77915529241943 "G" 1
0.941699920366191 3.55877099194663 "F" 1
6.09330960880398 -0.157642254837946 "W" 1
-1.48199586962719 1.72454333190606 "Q" 1
-1.32266504990326 -0.709452992957437 "Q" 1
-1.74535409634304 -1.18835842249363 "G" 1
-1.47975559813595 2.12229802713561 "F" 1
-1.49278052266112 2.95923051542661 "F" 1
-2.03935649552762 -2.97753607759289 "G" 1
4.62815900363629 -0.111146466113359 "W" 1
-2.89211734009188 -1.49054921345571 "Q" 1
0.0738869641788984 -3.04853266652073 "G" 1
-1.14920226652484 2.67760620001513 "F" 1
-2.06561901330977 0.0814710982575134 "Q" 1
-0.577064874964355 0.47178706278553 "Q" 1
-2.03890920087061 -1.74405079886614 "W" 2
5.64153363272934 0.581612003659786 "Q" 2
-3.68734310942598 2.74238059910982 "F" 2
-4.21457278705122 3.65548488728606 "F" 2
-1.92404453585019 -1.78710671811472 "W" 2
5.77977658753166 1.5148346829002 "Q" 2
-4.32579390239724 2.98465239368595 "F" 2
0.272278960322501 -2.54517496472355 "G" 2
-1.19212533396567 0.685152727282492 "W" 2
-0.664689729337696 2.9028932285463 "F" 2
-1.42916700134243 0.0754494740767503 "W" 2
-2.77618704383016 1.30558282362731 "F" 2
-0.292143419608494 -1.73771737060183 "G" 2
-2.32134419164341 1.74994121186716 "F" 2
6.72861112755333 1.20762571577508 "Q" 2
-3.90643526158599 0.191478517218565 "W" 2
-0.0878487099603075 -2.82544374697924 "G" 2
-2.34837188720931 1.8147707762676 "F" 2
4.68713433835885 0.545932957392476 "Q" 2
-4.54691012339048 1.69085650782745 "F" 2
-1.05344604522597 -2.45354638632061 "W" 2
-0.607581533869326 -2.35053783249594 "G" 2
6.25516341033433 2.00210316875726 "Q" 2
-1.67313412428617 -0.632150281275633 "W" 2
-1.26464979407088 -0.959869664133351 "W" 2
-0.0982281033537114 -3.9853275896332 "G" 2
-1.75830190960355 0.105522606124822 "G" 2
-2.6900445126921 -1.91618770492602 "W" 2
6.51468517545536 0.491847709911232 "Q" 2
-0.109308875742828 -2.81809613641968 "G" 2
-1.07260320238997 3.08860055268149 "F" 2
-3.54289637130923 1.51770181283509 "F" 2
-0.809827237995203 -0.376090645812685 "W" 2
-5.26697649019839 0.252524175152513 "F" 2
-0.818075318518273 -1.65976449001191 "G" 2
0.578981577209228 -2.06366370550341 "G" 2
-1.22003734147719 0.189054047971282 "W" 2
-1.97931850047713 -2.26022572011047 "W" 2
-1.5898989016398 1.33480673186426 "F" 2
4.49520293035098 -0.664468018004314 "Q" 2
5.66033950016192 0.461320480329535 "Q" 2
6.5758210021266 0.643142117155906 "Q" 2
5.29753958931281 2.4926661240702 "Q" 2
-2.35470627017065 1.76296314462953 "F" 2
-1.07747844323537 -1.33181827921288 "G" 2
-3.78541363352975 2.38355507436831 "F" 2
4.65798361246123 0.89113076955048 "Q" 2
-0.543030929734439 -3.27927676840866 "G" 2
7.14347334945908 -0.51776066647413 "Q" 2
-1.21768101637792 -3.35730953389658 "G" 2
-3.71320651657268 2.51072011965103 "F" 3
3.65959985698806 1.68612520961749 "Q" 3
0.789043380375808 -2.73238436525025 "G" 3
-2.92806190660222 -1.26893375094138 "W" 3
3.0683902700569 0.86525709451938 "Q" 3
-1.8192293431877 -2.23818097977951 "W" 3
-2.40592687365589 0.619251469932919 "F" 3
1.17731320506554 -3.70744895523139 "G" 3
2.74643352248187 1.19013135188451 "Q" 3
-1.18762411195849 -2.36914437640848 "W" 3
-1.08635697766061 -1.85477861642832 "W" 3
-1.83180174193964 2.06723747440869 "F" 3
